,symbol,volume,market_value,sl,tp,open_price,close_price,profit,open_timeString,nominalValue,commission,margin_rate,spread,closed,taxes,storage
1,2B76.DE_9,5.0,59.38,0.0,0.0,10.106,11.876,8.85,Tue Nov 07 10:15:01 CET 2023,50.53,0.0,0.0,0,False,0.0,0.0
13,2B76.DE_9,1.0,11.88,0.0,0.0,10.098,11.876,1.78,Tue Nov 07 10:20:42 CET 2023,10.1,0.0,0.0,0,False,0.0,0.0
3,EUNL.DE,2.0,164.52,0.0,0.0,76.866,82.258,10.79,Tue Nov 07 10:13:13 CET 2023,153.73,0.0,0.0,0,False,0.0,0.0
4,GOOGC.US_9,1.0,127.12,0.0,0.0,143.06,141.06,-2.68,Wed Dec 27 15:30:41 CET 2023,129.8,0.0,0.0,0,False,0.0,0.0
9,NEE.US_9,18.3216,1004.01,0.0,0.0,60.33,60.81,4.16,Wed Dec 27 17:55:04 CET 2023,999.85,0.0,0.0,0,False,0.0,0.0
11,NEE.US_9,2.0,109.6,0.0,0.0,59.92,60.81,0.87,Wed Dec 27 15:31:53 CET 2023,108.73,0.0,0.0,0,False,0.0,0.0
7,PYPL.US_9,3.0,166.07,0.0,0.0,62.67,61.43,-5.05,Tue Dec 26 21:48:08 CET 2023,171.12,0.0,0.0,0,False,0.0,0.0
10,PYPL.US_9,8.8298,488.81,0.0,0.0,62.61,61.43,-11.19,Wed Dec 27 18:31:51 CET 2023,500.0,0.0,0.0,0,False,0.0,0.0
2,QDVE.DE,3.0,67.08,0.0,0.0,20.765,22.36,4.78,Tue Nov 07 10:17:52 CET 2023,62.3,0.0,0.0,0,False,0.0,0.0
8,QDVE.DE,1.0,22.36,0.0,0.0,20.75,22.36,1.61,Tue Nov 07 10:20:19 CET 2023,20.75,0.0,0.0,0,False,0.0,0.0
5,SPWR.US_9,21.0,91.4,0.0,0.0,4.74,4.83,1.08,Wed Dec 27 15:32:15 CET 2023,90.32,0.0,0.0,0,False,0.0,0.0
6,SPWR.US_9,112.8173,491.05,0.0,0.0,4.9,4.83,-8.95,Wed Dec 27 18:32:55 CET 2023,500.0,0.0,0.0,0,False,0.0,0.0
12,VUAA.DE,2.0,162.83,0.0,0.0,76.476,81.4161,9.88,Tue Nov 07 10:12:10 CET 2023,152.95,0.0,0.0,0,False,0.0,0.0
0,XDWH.DE,1.0,45.57,0.0,0.0,43.91,45.565,1.66,Tue Nov 07 10:18:45 CET 2023,43.91,0.0,0.0,0,False,0.0,0.0
