,order,symbol,volume,open_price,close_price,profit,open_time,close_time,nominalValue,cmd,opened_days,description,category,currency,current_ask,current_bid,current_time,afterclosing_days,potential_profit,open_date,close_date,current_date,profit_percentage,potential_profit_percentage
0,354572249,SHOP.US_9,22.0,89.94,77.88,-252.97,1707762974645,1707834842663,1844.22,0,0.8,Shopify Inc. - class A  (Cboe BZX Real-Time Quote),STC,USD,75.59,75.57,1709153999415,15.3,-315.7,2024-02-12 18:36:14.645,2024-02-13 14:34:02.663,2024-02-28 20:59:59.415,-12.78,-15.96
1,354066351,TSLA.DE,5.0,179.26,179.2,-0.3,1707741678000,1707742645725,896.3,0,0.0,Tesla Inc,STC,EUR,188.6,188.56,1709215759354,17.0,46.7,2024-02-12 12:41:18.000,2024-02-12 12:57:25.725,2024-02-29 14:09:19.354,-0.03,5.21
2,354059906,UBI.FR_9,1.0,23.44,23.44,0.0,1707734415652,1707740798542,23.44,0,0.1,Ubisoft Entertainment SA,STC,EUR,21.37,21.35,1709215757801,17.1,-2.07,2024-02-12 10:40:15.652,2024-02-12 12:26:38.542,2024-02-29 14:09:17.801,0.0,-8.83
3,354059905,UBI.FR_9,39.0,23.44,23.44,0.0,1707734415652,1707740798542,914.16,0,0.1,Ubisoft Entertainment SA,STC,EUR,21.37,21.35,1709215757801,17.1,-80.73,2024-02-12 10:40:15.652,2024-02-12 12:26:38.542,2024-02-29 14:09:17.801,0.0,-8.83
4,353798237,ABI.BE_9,18.0,60.99,60.02,-17.46,1707389108705,1707495478346,1097.82,0,1.2,Anheuser-Busch InBev SA/NV,STC,EUR,56.56,56.54,1709215742088,19.9,-79.74,2024-02-08 10:45:08.705,2024-02-09 16:17:58.346,2024-02-29 14:09:02.088,-1.59,-7.26
5,353798014,SIE.DE_9,6.0,167.32,164.88,-14.64,1707382280000,1707495462000,1003.92,0,1.3,Siemens AG,STC,EUR,182.58,182.56,1709215761340,19.9,91.56,2024-02-08 08:51:20.000,2024-02-09 16:17:42.000,2024-02-29 14:09:21.340,-1.46,9.12
6,353797794,QCOM.US_9,8.0,141.42,150.99,68.56,1706817980202,1707495435130,1045.64,0,7.8,QUALCOMM Inc (Cboe BZX Real-Time Quote),STC,USD,155.88,155.84,1709153999870,19.2,115.68,2024-02-01 20:06:20.202,2024-02-09 16:17:15.130,2024-02-28 20:59:59.870,6.06,10.22
7,353793097,PLTR.US_9,36.0,24.99,23.86,-46.2,1707417326956,1707494848471,838.79,0,0.9,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,19.2,-19.8,2024-02-08 18:35:26.956,2024-02-09 16:07:28.471,2024-02-28 20:59:57.176,-5.14,-2.2
8,353008478,CBK.DE_9,90.0,10.805,10.31,-44.55,1707122371000,1707318109000,972.45,0,2.3,Commerzbank AG,STC,EUR,10.835,10.83,1709215750378,22.0,2.7,2024-02-05 08:39:31.000,2024-02-07 15:01:49.000,2024-02-29 14:09:10.378,-4.58,0.28
9,352971582,ABI.BE_9,18.0,57.66,59.99,41.94,1706615673490,1707316361700,1037.88,0,8.1,Anheuser-Busch InBev SA/NV,STC,EUR,56.56,56.54,1709215742088,22.0,-19.8,2024-01-30 11:54:33.490,2024-02-07 14:32:41.700,2024-02-29 14:09:02.088,4.04,-1.91
10,352450072,BAYN.DE_9,34.0,29.14,28.0,-38.76,1707122188000,1707206595552,990.76,0,1.0,Bayer AG,STC,EUR,28.31,28.3,1709215758602,23.3,-28.22,2024-02-05 08:36:28.000,2024-02-06 08:03:15.552,2024-02-29 14:09:18.602,-3.91,-2.85
11,351900782,NEE.US_9,12.0,59.15,58.84,-8.89,1706553510720,1706903578770,659.86,0,4.1,NextEra Energy Inc (Cboe BZX Real-Time Quote),STC,USD,55.05,55.04,1709153999466,26.0,-49.2,2024-01-29 18:38:30.720,2024-02-02 19:52:58.770,2024-02-28 20:59:59.466,-1.25,-6.93
12,351735908,EDPR.PT_9,65.0,15.1,14.8,-19.5,1706784308476,1706884537439,981.5,0,1.2,EDP Renovaveis SA,STC,EUR,12.825,12.82,1709215761027,27.0,-147.88,2024-02-01 10:45:08.476,2024-02-02 14:35:37.439,2024-02-29 14:09:21.027,-1.99,-15.07
13,351621093,P911.DE_9,12.0,79.34,83.18,46.08,1706791889000,1706874614286,952.08,0,1.0,Dr Ing hc F Porsche AG - preference shares,STC,EUR,87.3,87.26,1709215752395,27.1,95.52,2024-02-01 12:51:29.000,2024-02-02 11:50:14.286,2024-02-29 14:09:12.395,4.84,10.03
14,351112079,ADS.DE_9,6.0,160.82,161.04,1.32,1706777059000,1706777627000,964.92,0,0.0,Adidas AG,STC,EUR,189.04,189.02,1709215755158,28.2,169.32,2024-02-01 08:44:19.000,2024-02-01 08:53:47.000,2024-02-29 14:09:15.158,0.14,17.55
15,350951337,SYM.US,24.0,44.34,44.73,-1.2,1706729995250,1706730573180,985.09,0,0.0,Symbotic Inc - class A (Cboe BZX Real-Time Quote),STC,USD,39.75,39.51,1709153999903,28.0,-110.16,2024-01-31 19:39:55.250,2024-01-31 19:49:33.180,2024-02-28 20:59:59.903,-0.11,-10.35
16,350928770,SYM.US,5.0,43.44,43.42,-1.43,1706711489471,1706729320041,200.84,0,0.2,Symbotic Inc - class A (Cboe BZX Real-Time Quote),STC,USD,39.75,39.51,1709153999903,28.1,-18.45,2024-01-31 14:31:29.471,2024-01-31 19:28:40.041,2024-02-28 20:59:59.903,-0.66,-8.49
17,350928769,SYM.US,19.0,43.44,43.42,-5.43,1706711481470,1706729320041,763.2,0,0.2,Symbotic Inc - class A (Cboe BZX Real-Time Quote),STC,USD,39.75,39.51,1709153999903,28.1,-70.11,2024-01-31 14:31:21.470,2024-01-31 19:28:40.041,2024-02-28 20:59:59.903,-0.66,-8.49
18,350747317,SMCI.US_9,2.0,517.6,504.0,-37.46,1706639592717,1706711491184,960.15,0,0.8,Super Micro Computer Inc,STC,USD,820.62,816.64,1709153995284,28.3,606.04,2024-01-30 18:33:12.717,2024-01-31 14:31:31.184,2024-02-28 20:59:55.284,-3.62,58.54
19,350615661,MSF.DE_9,3.0,380.35,372.25,-24.3,1706622449000,1706691980963,1141.05,0,0.8,Microsoft Corp,STC,EUR,377.95,377.75,1709215763882,29.2,-7.2,2024-01-30 13:47:29.000,2024-01-31 09:06:20.963,2024-02-29 14:09:23.882,-2.13,-0.63
20,350591786,TSLA.DE,6.0,180.2,172.3,-47.4,1706622102000,1706688404529,1081.2,0,0.8,Tesla Inc,STC,EUR,188.7,188.56,1709215764477,29.3,51.0,2024-01-30 13:41:42.000,2024-01-31 08:06:44.529,2024-02-29 14:09:24.477,-4.38,4.72
21,350461276,PLTR.US_9,48.0,16.68,16.7,-8.85,1706553317750,1706635600396,744.31,0,1.0,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,29.1,372.48,2024-01-29 18:35:17.750,2024-01-30 17:26:40.396,2024-02-28 20:59:57.176,-1.11,46.52
22,350461275,PLTR.US_9,20.0,16.68,16.7,-3.69,1706553317750,1706635600396,310.13,0,1.0,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,29.1,155.2,2024-01-29 18:35:17.750,2024-01-30 17:26:40.396,2024-02-28 20:59:57.176,-1.11,46.52
23,350461274,PLTR.US_9,2.0,16.68,16.7,-0.37,1706553317739,1706635600396,31.01,0,1.0,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,29.1,15.52,2024-01-29 18:35:17.739,2024-01-30 17:26:40.396,2024-02-28 20:59:57.176,-1.11,46.52
24,350288563,BEI.DE_9,10.0,134.45,136.15,17.0,1706264331000,1706614443389,1344.5,0,4.1,Beiersdorf AG,STC,EUR,133.8,133.7,1709215762397,30.1,-6.5,2024-01-26 10:18:51.000,2024-01-30 11:34:03.389,2024-02-29 14:09:22.397,1.26,-0.48
25,350251012,MBG.DE_9,15.0,60.02,61.64,24.3,1706258106000,1706606387777,900.3,0,4.0,Mercedes-Benz Group AG,STC,EUR,73.97,73.96,1709215765046,30.2,209.25,2024-01-26 08:35:06.000,2024-01-30 09:19:47.777,2024-02-29 14:09:25.046,2.7,23.24
26,350242652,IFX.DE_9,27.0,33.905,33.775,-3.51,1706604122000,1706604503000,915.44,0,0.0,Infineon Technologies AG,STC,EUR,33.305,33.3,1709215765371,30.2,-16.2,2024-01-30 08:42:02.000,2024-01-30 08:48:23.000,2024-02-29 14:09:25.371,-0.38,-1.77
27,350239619,VWS.DK_9,40.0,197.44,196.3,-16.78,1706111166195,1706603832575,1064.77,0,5.7,Vestas Wind Systems A/S,STC,DKK,193.88,193.78,1709215760098,30.2,-142.4,2024-01-24 15:46:06.195,2024-01-30 08:37:12.575,2024-02-29 14:09:20.098,-0.21,-1.8
28,350107381,PLTR.US_9,100.0,16.52,16.6,-0.37,1706288347230,1706551398520,1528.09,0,3.0,Palantir Technologies Inc - class A (Cboe BZX Real-Time Quote),STC,USD,24.44,24.42,1709153997176,30.1,792.0,2024-01-26 16:59:07.230,2024-01-29 18:03:18.520,2024-02-28 20:59:57.176,-0.02,47.94
