symbol,ctmString,open,close,high,low,vol,quoteId,datetime,rsiM1,signal,signal_price
PLTR.US_9,"May 6, 2024, 7:10:00 PM",24.94,24.96,24.96,24.94,677.0,6,2024-05-06 19:10:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:11:00 PM",24.96,24.95,24.96,24.95,363.0,6,2024-05-06 19:11:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:12:00 PM",24.96,24.96,24.96,24.96,267.0,6,2024-05-06 19:12:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:13:00 PM",24.96,24.95,24.96,24.94,297.0,6,2024-05-06 19:13:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:14:00 PM",24.95,24.94,24.96,24.93,578.0,6,2024-05-06 19:14:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:15:00 PM",24.94,24.97,24.97,24.93,669.0,6,2024-05-06 19:15:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:16:00 PM",24.97,24.97,24.99,24.97,697.0,6,2024-05-06 19:16:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:17:00 PM",24.97,24.98,24.98,24.97,341.0,6,2024-05-06 19:17:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:18:00 PM",24.98,24.98,24.98,24.98,186.0,6,2024-05-06 19:18:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:19:00 PM",24.98,24.95,24.98,24.95,408.0,6,2024-05-06 19:19:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:20:00 PM",24.95,24.93,24.95,24.93,597.0,6,2024-05-06 19:20:00,,HOLD,
PLTR.US_9,"May 6, 2024, 7:21:00 PM",24.93,24.95,24.95,24.93,407.0,6,2024-05-06 19:21:00,45.87988640950408,HOLD,
PLTR.US_9,"May 6, 2024, 7:22:00 PM",24.95,24.91,24.95,24.9,378.0,6,2024-05-06 19:22:00,32.29797579313451,HOLD,
PLTR.US_9,"May 6, 2024, 7:23:00 PM",24.89,24.88,24.89,24.88,310.0,6,2024-05-06 19:23:00,25.958280278885752,HOLD,
PLTR.US_9,"May 6, 2024, 7:24:00 PM",24.87,24.85,24.87,24.85,420.0,6,2024-05-06 19:24:00,21.348736384434208,BUY,24.87
PLTR.US_9,"May 6, 2024, 7:25:00 PM",24.86,24.85,24.86,24.85,573.0,6,2024-05-06 19:25:00,21.348736384434204,HOLD,
PLTR.US_9,"May 6, 2024, 7:26:00 PM",24.84,24.82,24.84,24.82,289.0,6,2024-05-06 19:26:00,17.572916613863523,HOLD,
PLTR.US_9,"May 6, 2024, 7:27:00 PM",24.82,24.83,24.83,24.82,424.0,6,2024-05-06 19:27:00,22.592780916096533,HOLD,
PLTR.US_9,"May 6, 2024, 7:28:00 PM",24.84,24.87,24.88,24.84,584.0,6,2024-05-06 19:28:00,38.951512589092175,HOLD,
PLTR.US_9,"May 6, 2024, 7:29:00 PM",24.88,24.88,24.88,24.88,270.0,6,2024-05-06 19:29:00,42.30457935681543,HOLD,
PLTR.US_9,"May 6, 2024, 7:30:00 PM",24.88,24.84,24.88,24.84,467.0,6,2024-05-06 19:30:00,34.07075303022199,HOLD,
PLTR.US_9,"May 6, 2024, 7:31:00 PM",24.84,24.84,24.85,24.84,398.0,6,2024-05-06 19:31:00,34.07075303022199,HOLD,
